date;open;high;low;close;adj close;volume
21/10/2022;114790001;119589996;114500000;119320000;119320000;55660500
20/10/2022;113830002;118239998;113510002;115250000;115250000;48795100
19/10/2022;114709999;116589996;113220001;115070000;115070000;47198100
18/10/2022;119059998;119519997;114790001;116360001;116360001;65607400
17/10/2022;110110001;114190002;110089996;113790001;113790001;62782000
14/10/2022;114099998;114959999;106599998;106900002;106900002;67737300
13/10/2022;107879997;113440002;105349998;112529999;112529999;86868100
12/10/2022;112489998;113830002;111400002;112900002;112900002;45728700
11/10/2022;112709999;115480003;110389999;112209999;112209999;56432200
10/10/2022;115099998;116250000;112430000;113669998;113669998;42339700
7/10/2022;118000000;118169998;113879997;114559998;114559998;54678000
6/10/2022;120769997;121529999;119500000;120300003;120300003;42253800
5/10/2022;118580002;121750000;117690002;120949997;120949997;48217500
4/10/2022;119889999;123000000;119790001;121089996;121089996;62812600
3/10/2022;113580002;116910004;112449997;115879997;115879997;50941900
30/9/2022;114080002;116919998;112839996;113000000;113000000;59479600
29/9/2022;115599998;116070000;113059998;114800003;114800003;58969700
28/9/2022;114379997;118699997;113800003;118010002;118010002;55763800
27/9/2022;117199997;118320000;113050003;114410004;114410004;60094700
26/9/2022;113300003;117339996;113129997;115150002;115150002;62723300
23/9/2022;116000000;116050003;112059998;113779999;113779999;65126700
22/9/2022;117080002;118790001;116260002;117309998;117309998;55229200
21/9/2022;122489998;123760002;118449997;118540001;118540001;58498900
20/9/2022;123349998;124400002;121139999;122190002;122190002;47698400
19/9/2022;122160004;124709999;121800003;124660004;124660004;47279700
16/9/2022;122779999;123870003;120699997;123529999;123529999;115667800
15/9/2022;127379997;130369995;125500000;126279999;126279999;52887200
14/9/2022;127360001;128839996;126330002;128550003;128550003;45316800
13/9/2022;131009995;131399994;126269997;126820000;126820000;72694000
12/9/2022;134100006;136490005;134000000;136449997;136449997;53826900
9/9/2022;130910004;133690002;130759995;133270004;133270004;49387600
8/9/2022;127720001;130279999;127099998;129820007;129820007;43988500
7/9/2022;126120003;129820007;125400002;129479996;129479996;47900300
6/9/2022;127919998;128619995;124739998;126110001;126110001;43888600
2/9/2022;129500000;131380005;126389999;127510002;127510002;57429800
1/9/2022;126000000;128020004;123660004;127820000;127820000;56636100
31/8/2022;129449997;130589996;126739998;126769997;126769997;53648700
30/8/2022;131250000;132070007;126849998;128729996;128729996;49203000
29/8/2022;129899994;131949997;128770004;129789993;129789993;48101600
26/8/2022;136550003;137830002;130500000;130750000;130750000;53322700
25/8/2022;135259995;137419998;134279999;137279999;137279999;37496300
24/8/2022;132750000;135470001;132100006;133800003;133800003;38627000
23/8/2022;133410004;134990005;132949997;133619995;133619995;36252100
22/8/2022;135720001;136320007;132850006;133220001;133220001;50461500
19/8/2022;140470001;141110001;137910004;138229996;138229996;47792800
